DUID,CO2E_EMISSIONS_FACTOR
BLOWERNG,0
BURRIN,0
BW01,0.91264312
BW02,0.91264312
BW03,0.91264312
BW04,0.91264312
CAPTL_WF,0
CG1,0.78256
CG2,0.78256
CG3,0.78256
CG4,0.78256
CULLRGWF,0
ER01,0.91014305
ER02,0.91014305
ER03,0.91014305
ER04,0.91014305
GB01,0.706
GUNNING1,0
GUTHEGA,0
HUMENSW,0
JNDABNE1,0
LD01,0.98059172
LD02,0.98059172
LD03,0.98059172
LD04,0.98059172
MM3,1.16298701
MM4,1.16298701
MP1,0.90851838
MP2,0.90851838
SHGEN,0
SITHE01,0.58773951
TALWA1,0.44753472
TUMUT3,0
UPPTUMUT,0
URANQ11,0.72427163
URANQ12,0.72427163
URANQ13,0.72427163
URANQ14,0.72427163
VP5,0.90830509
VP6,0.90830509
WOODLWN1,0
WW7,1.03004577
WW8,1.03004577
PUMP1,0
PUMP2,0
SHPUMP,0
BARCALDN,1.09923943
BARRON-1,0
BARRON-2,0
BRAEMAR1,0.6631416
BRAEMAR2,0.6631416
BRAEMAR3,0.6631416
BRAEMAR5,0.6631416
BRAEMAR6,0.6631416
BRAEMAR7,0.6631416
CALL_A_4,0.93134349
CALL_A_4,1.328
CALL_B_1,0.93134349
CALL_B_1,1.328
CALL_B_2,0.93134349
CALL_B_2,1.328
CPP_3,0.906912
CPP_4,0.906912
CPSA,0.51106875
DDPS1,0.47758539
GSTONE1,0.97176136
GSTONE2,0.97176136
GSTONE3,0.97176136
GSTONE4,0.97176136
GSTONE5,0.97176136
GSTONE6,0.97176136
KAREEYA1,0
KAREEYA2,0
KAREEYA3,0
KAREEYA4,0
KPP_1,0.83104
MACKAYGT,1.04582286
MPP_1,0.84159805
MPP_2,0.84159805
MSTUART1,0.9986328
MSTUART2,0.9986328
MSTUART3,0.9986328
OAKEY1,0.84527362
OAKEY2,0.84527362
ROMA_7,0.7565184
ROMA_8,0.7565184
RPCG,0.023
STAN-1,0.8721899999999999
STAN-2,0.8721899999999999
STAN-3,0.8721899999999999
STAN-4,0.8721899999999999
SWAN_E,0.42795234
SWAN_E,1.091
TARONG#1,0.87145856
TARONG#2,0.87145856
TARONG#3,0.87145856
TARONG#4,0.87145856
TNPS1,0.84375551
W/HOE#1,0
W/HOE#2,0
YABULU,0.50921217
YABULU2,0.50921217
YARWUN_1,0.61324941
AGLHAL,1.17444
ANGAS1,1.0136
ANGAS2,1.0136
BLUFF1,0
CATHROCK,0
CLEMGPWF,0
DRYCGT1,1.34256
DRYCGT2,1.34256
DRYCGT3,1.34256
HALLWF1,0
HALLWF2,0
